id,lon,lat,population
052E,77.28504728,28.71933021,71060
053E,77.28845929,28.70960722,73943
054E,77.30522784,28.71514486,70104
055E,77.3167609,28.71209559,78698
056E,77.28017958,28.73245809,76661
057E,77.27098992,28.72466526,71811
058E,77.27357231,28.71435691,79384
059E,77.26786658,28.71533732,83645
060E,77.24574987,28.7444131,66979
061E,77.26918348,28.73669188,69926
062E,77.25898165,28.72568572,47790
063E,77.26358407,28.71168658,63784
064E,77.24447963,28.72335205,72825
001S,77.11762842,28.6727783,48748
002S,77.12996613,28.66827914,49968
003S,77.12558901,28.65916754,54083
004S,77.11768313,28.6606224,67358
005S,77.11810047,28.64660879,53136
006S,77.10159782,28.64752865,47225
007S,77.10142729,28.65239666,50184
008S,77.10631547,28.65607844,55637
009S,77.11633172,28.63645959,62890
010S,77.11178133,28.62125917,70725
011S,77.10183616,28.63063058,57335
012S,77.08916124,28.65338606,67952
013S,77.09792402,28.64437319,69734
014S,77.07751931,28.63596534,60360
015S,77.09006189,28.62666263,53542
016S,77.09514628,28.62046922,43598
017S,77.07589574,28.61039474,64252
018S,77.06681184,28.62164238,59218
019S,77.02027828,28.65523631,64040
020S,77.07145566,28.6356919,67860
021S,77.05721144,28.63542869,66569
022S,77.03107431,28.63817287,61033
023S,77.04468754,28.64629325,70102
024S,77.01897509,28.63616793,67309
025S,77.03020401,28.62742705,52758
026S,77.04412945,28.63278379,56722
027S,77.0496245,28.62586834,57565
028S,77.05128807,28.6189132,51944
029S,77.06966341,28.61326749,56553
030S,77.09299695,28.60917134,50038
031S,77.1008733,28.60688731,55788
032S,77.1035609,28.60398345,49911
033S,77.08971036,28.59825895,56609
034S,77.00683703,28.59759327,61301
035S,77.01986573,28.61151563,64898
036S,77.03252113,28.59962315,61578
037S,77.04782312,28.61485048,61106
038S,77.05483033,28.57974613,62971
039S,77.01323754,28.56659335,54966
040S,76.94828597,28.547395,54275
041S,76.9524013,28.64442539,57262
042S,76.99057911,28.63548215,52934
043S,76.97630225,28.60483471,63592
044S,77.00625169,28.60692268,56806
045S,76.90211625,28.58085644,49055
046S,77.08506032,28.58414179,52996
047S,77.04341748,28.55575096,58714
048S,77.0875816,28.54051289,57323
049S,77.08512653,28.52776727,64339
050S,77.13306415,28.53867346,64864
051S,77.06453339,28.60730358,69859
052S,77.07977813,28.60587211,68984
053S,77.09601066,28.59584872,59232
054S,77.07868359,28.59066101,52155
055S,77.24847844,28.62064199,52574
056S,77.26377069,28.61330214,53840
057S,77.25183107,28.57834009,43635
058S,77.24394777,28.58230193,58353
059S,77.24437181,28.56588298,57685
060S,77.22426006,28.57459746,55913
061S,77.19770245,28.55746177,49705
062S,77.21773722,28.55730831,54751
063S,77.21737168,28.54003356,53233
064S,77.16182491,28.56279572,56581
065S,77.18219734,28.57310429,54471
066S,77.18695566,28.56486428,63798
067S,77.16909516,28.5468781,66037
068S,77.18032789,28.5251143,66431
069S,77.14325412,28.52014883,67723
070S,77.186037,28.50280585,68716
071S,77.21829146,28.49509725,64992
072S,77.1951608,28.44632627,61492
073S,77.14620618,28.47715528,57911
074S,77.2481471,28.53075633,64027
075S,77.24548661,28.51896377,66915
076S,77.23339746,28.5087296,55217
077S,77.24416808,28.49948392,49884
078S,77.2263911,28.49378753,52530
079S,77.23999626,28.52882907,66192
080S,77.23224223,28.52493441,69012
081S,77.22998614,28.51630178,64453
082S,77.26078499,28.5253655,47681
083S,77.26495143,28.5102584,55464
084S,77.25710208,28.49587146,53377
085S,77.25222654,28.50747825,61189
086S,77.2454608,28.55862703,59633
087S,77.25338806,28.53842658,63474
088S,77.22235321,28.54156818,62446
089S,77.27486082,28.56469767,68044
090S,77.26711413,28.55054194,59816
091S,77.27057449,28.53768684,62906
092S,77.28168066,28.54457313,65868
093S,77.28117425,28.52517746,63172
094S,77.29898192,28.51285388,69788
095S,77.31280435,28.51026704,69273
096S,77.31966083,28.50632655,68088
097S,77.32877915,28.51456404,69966
098S,77.33935532,28.51831986,59330
099S,77.33251996,28.50145249,69837
100S,77.28596176,28.57931209,64322
101S,77.29141139,28.55668187,64880
102S,77.30500097,28.56005506,61361
103S,77.30872476,28.53372836,55119
104S,77.32610208,28.53516126,72998
CANTT,77.13096543,28.59192753,116000
NDMC,77.20866344,28.60285365,257803
